epoch, loss, acc, gpu_util, mem_util
0, 2.0064862677626065, 0.38202247191011235, 10, 0
1, 1.5012483105666985, 0.3433208489388265, 9, 0
2, 0.9477538642950839, 0.5468164794007491, 13, 0
3, 0.7217532513575258, 0.7890137328339576, 14, 0
4, 0.6699484839744441, 0.7902621722846442, 14, 0
5, 0.6454191387689704, 0.7902621722846442, 14, 0
6, 0.6300715342553312, 0.7902621722846442, 10, 0
7, 0.6258400491473392, 0.7902621722846442, 10, 0
8, 0.6188769915629849, 0.7902621722846442, 10, 0
9, 0.6170949664596627, 0.7902621722846442, 13, 0
10, 0.6122337012407147, 0.7902621722846442, 13, 0
11, 0.6094191593739612, 0.7902621722846442, 13, 0
12, 0.6082018552946733, 0.7902621722846442, 12, 0
13, 0.6063524234873241, 0.7902621722846442, 10, 0
14, 0.6051045467216373, 0.7902621722846442, 10, 0
15, 0.6090205588481236, 0.7902621722846442, 7, 0
16, 0.6038836396210171, 0.7990012484394506, 13, 0
17, 0.6028300003455375, 0.7902621722846442, 13, 0
18, 0.6043546683635344, 0.7902621722846442, 13, 0
19, 0.6035280839295512, 0.7902621722846442, 10, 0
